pc11_s_id,pc11_d_id,pc11_sd_id,year,post_ror_data_entry_block_any,post_ror_dist_softw_available_block_any,post_ror_aadhaar_link_block_any,post_mutation_computerized_block_any,post_digital_ror_issued_block_any,block_id,mean_night,count_night,sum_night,sd_name,frac_12,per_aggriculture,per_treecover,per_greencover,per_built
1,1,1,2000,0,0,0,0,0,1,0.0027032350189983,8192,22.1449012756348,Kupwara,,,31.2863807678223,47.3889350891113,21.3246765136719
1,1,1,2001,0,0,0,0,0,1,0.0027032350189983,8192,22.1449012756348,Kupwara,0.0642155110836029,6.42155110836029,33.507698059082,42.9003028869629,23.5920009613037
1,1,1,2002,0,0,0,0,0,1,0.0027032350189983,8192,22.1449012756348,Kupwara,0.0768597647547722,7.68597647547722,28.0367221832275,49.9645843505859,21.9986915588379
1,1,1,2003,0,0,0,0,0,1,0.0027032350189983,8192,22.1449012756348,Kupwara,0.0720948949456215,7.20948949456215,32.680721282959,45.6215400695801,21.6977386474609
1,1,1,2004,0,0,0,0,0,1,0.0031132579315453,8192,25.5038089752197,Kupwara,0.0529096052050591,5.29096052050591,31.4040145874023,41.7327537536621,26.8632316589355
1,1,1,2005,0,0,0,0,0,1,0.0027032350189983,8192,22.1449012756348,Kupwara,0.0643775165081024,6.43775165081024,31.0158672332764,48.659122467041,20.325008392334
1,1,1,2006,0,0,0,0,0,1,0.0027032350189983,8192,22.1449012756348,Kupwara,0.0736559554934502,7.36559554934502,32.3434410095215,48.3191146850586,19.3374481201172
1,1,1,2007,0,0,0,0,0,1,0.0030035129748284,8192,24.6047782897949,Kupwara,0.0851718336343765,8.51718336343765,32.9183006286621,44.3595314025879,22.7221660614014
1,1,1,2008,0,0,0,0,0,1,0.0030035129748284,8192,24.6047782897949,Kupwara,0.0927295237779617,9.27295237779617,32.324390411377,46.2362365722656,21.4393787384033
1,1,1,2009,0,0,0,0,0,1,0.003153899218887,8192,25.8367424011231,Kupwara,0.0774513408541679,7.74513408541679,30.3134212493897,49.5646057128906,20.1219730377197
1,1,1,2010,0,0,0,0,0,1,0.006526893004775,8192,53.4683074951172,Kupwara,0.0771125257015228,7.71125257015228,32.5874481201172,43.5256195068359,23.8869285583496
1,1,1,2011,0,0,0,0,0,1,0.0063241468742489,8192,51.8074111938477,Kupwara,0.0721273571252823,7.21273571252823,31.1057453155518,50.3923492431641,18.5019111633301
1,1,1,2012,0,0,0,0,0,1,0.0125191211700439,8192,102.556640625,Kupwara,0.0545721687376499,5.45721687376499,30.8230381011963,47.5374145507813,21.6395454406738
1,1,1,2013,0,0,0,0,0,1,0.0319783240556716,8192,261.966430664063,Kupwara,0.0590687766671181,5.90687766671181,33.8535346984863,45.1051483154297,21.0413112640381
1,1,1,2014,0,0,0,0,0,1,0.0246216244995594,8192,201.700347900391,Kupwara,0.0560510791838169,5.60510791838169,32.1803932189941,51.4443397521973,16.3752670288086
1,1,1,2015,0,0,0,0,0,1,0.0277972389012575,8192,227.714981079102,Kupwara,0.0495150536298752,4.95150536298752,35.6977386474609,45.7958068847656,18.5064525604248
1,1,1,2016,0,0,0,0,0,1,0.025988670065999,8192,212.899185180664,Kupwara,0.0478907972574234,4.78907972574234,33.6040878295898,46.8132514953613,19.5826625823975
1,1,1,2017,0,0,0,0,0,1,0.0303957313299179,8192,249.001831054688,Kupwara,0.0682541504502296,6.82541504502296,34.3220100402832,45.904167175293,19.7738246917725
1,1,1,2018,0,0,0,0,0,1,0.0360375940799713,8192,295.219970703125,Kupwara,0.0598416477441788,5.98416477441788,35.8063087463379,41.2768821716309,22.9168090820313
1,1,1,2019,0,0,0,0,0,1,0.0396514870226383,8192,324.824981689453,Kupwara,0.0430086329579353,4.30086329579353,32.920295715332,48.2407455444336,18.8389549255371
1,1,1,2020,0,0,0,0,0,1,0.0481243878602981,8192,394.234985351563,Kupwara,0.0366017557680607,3.66017557680607,33.781608581543,50.1353225708008,16.083065032959
1,1,1,2021,0,0,0,0,0,1,0.0524151623249053,8192,429.385009765625,Kupwara,0.0307403597980738,3.07403597980738,36.5822639465332,44.3338241577148,19.0839176177979
