Título del empleo,Descripcion,Distrito,Modalidad
"Documentador / Ingeniería de Sistemas, Software, Computación, Telecomunicaciones y Electrónica.",,"Cercado De Lima, Lima, Peru",Presencial
Analista Programador .Net,,"Chorrillos, Lima, Peru",Híbrido
Desarrollador .NET (Net Core) - Remoto,,"Miraflores, Lima, Peru",Remoto
Analista programador .Net - Híbrido,,"Lima, Lima, Peru",Híbrido
Front-end JR,,"Lima, Lima, Peru",Remoto
Backend Developer Java/Azure Semi Senior,,"Lima, Lima, Peru",Híbrido
Desarrollador Mobile React Native,,"San Isidro, Lima, Peru",Híbrido
Analista Desarrollador C++ / Python / Rasberry Pi,,"San Isidro, Lima, Peru",Presencial
Desarrollador Backend .Net,,"Santiago de Surco, Lima, Peru",Híbrido
Desarrollador Junior Fullstack,,"San Isidro, Lima, Peru",Presencial
Analista Desarrollador Proyectos TI - Sector Telecomunicaciones,,"Surquillo, Lima, Peru",Híbrido
Desarrollador Móvil y Backend,,"Lima, Lima, Peru",Híbrido
Programador ABAP / Preencial,,"Callao, Lima, Peru",Presencial
Desarrollador de IA y Software,,"Lima, Lima, Peru",Híbrido
Analista programador IOS - Temporal,,"Lima, Lima, Peru",Híbrido
Programador,,"Miraflores, Lima, Peru",Híbrido
Programador Fullstack - Semi Senior,,"Jesús María, Lima, Peru",Presencial
Desarrollador Web,,"Santiago de Surco, Lima, Peru",Presencial
Programador Web Scraping PowerAutomate,,"Lima, Lima, Peru",Presencial
Ingeniero de Sistema / Software (especialista en desarrollo e implementación de aplicativos),,"Pueblo Libre, Lima, Peru",Tipo de contrato: Híbrido o presencial/semipresencial en Lima.
DESARROLLADOR RPA - UIPATH,,"Miraflores, Lima, Peru",Presencial
Analista de Programación,,"Miraflores, Lima, Peru",Híbrido
PROGRAMADOR WEB c/experiencia en posicionamiento SEO Y SEM,,"Magdalena del Mar, Lima, Peru",Presencial
"Empresa seria busca Analista Programador, minimo 3 años de experiencia.",,"Miraflores, Lima, Peru",Presencial
Desarrollador/Programador Excel (Avanzado) Freelance,,"Lima, Lima, Peru",Presencial
