contestId,index,name,type,rating,tags
2009,A,Minimize!,PROGRAMMING,800,"['brute force', 'math']"
2009,B,osu!mania,PROGRAMMING,800,"['brute force', 'implementation']"
2009,C,The Legend of Freya the Frog,PROGRAMMING,1100,"['implementation', 'math']"
2009,D,Satyam and Counting,PROGRAMMING,1400,"['geometry', 'math']"
2009,E,Klee's SUPER DUPER LARGE Array!!!,PROGRAMMING,1400,"['binary search', 'math', 'ternary search']"
2009,F,Firefly's Queries,PROGRAMMING,1700,"['bitmasks', 'data structures', 'flows', 'math']"
2009,G1,Yunli's Subarray Queries (easy version),PROGRAMMING,1900,"['binary search', 'data structures', 'two pointers']"
2009,G2,Yunli's Subarray Queries (hard version),PROGRAMMING,2200,"['binary search', 'data structures', 'dp']"
2009,G3,Yunli's Subarray Queries (extreme version),PROGRAMMING,2700,"['data structures', 'dp', 'implementation']"
