Título|Descripción|Distrito|Modalidad|Enlace
ANALISTA PROGRAMADOR DE SISTEMAS|"Publicado ayer
San Juan de Miraflores, Lima, Peru
Descripción del puesto
Nuestra empresa líder en servicios eléctricos de alta ingeniería, esta en busca de un profesional para cubrir la posición de Analista programador de sistemas.
Mision del puesto: Diseñar, desarrollar y mantener aplicaciones informaticas de la organización en función a la demanda de requerimientos, mediante la automatización de procesos, implementación de mejoras ,ejecución de correctivos de las aplicaciones existentes con la finalidad de garantizar la continuidad de las aplicaciones.
Perfil:
Titulado en Ingeniería Infórmatica, Ingeniería de Sistemas, Ciencias de la Computación o carreras afines.
Dominio en: NET 4.5 (C# y VB), SQL Server y/o MySQL (Indispensble), Jquery, Javascript, Angular, BootStrap y HTML.
Conocimiento en herramientas para pruebas Unitarias: Postman o Swagger (deseable) y herramienta.Low code: Power Apps (deseable).
03 años de experiencia en levantamiento y análisis de requerimientos, desarrollo e integración de aplicaciones y/o productos digitales. Experiencia en el desarrollo e implementación de proyectos de tecnología
Disponibilidad para laborar presencialmente en San Juan de Miraflores, lunes a viernes.
¿Que funciones desempeñaras?
Participar en la captura de requerimientos y gestionar su atención mediante prácticas ágiles.
Analizar, diseñar aplicaciones y/o productos digitales mediante el uso de prácticas ""User Interface"".
Desarrollar, mantener y brindar soporte a las aplicaciones de la organización.
Realizar pruebas unitarias y asegurar la calidad del código generado usando herramientas de validación.
Colaborar con el equipo de desarrollo en la definición y diseño de arquitecturas de servicios.
Asistir y capacitar a los usuarios finales de los programas y sistemas de información de la organización.
Otras funciones designadas por su Jefe inmediato.
¿Que te ofrecemos?
Ingreso a planilla.
Capacitaciones.
Remuneración de acorde al mercado.
Subvención de alimentos al 50%.
Presencial
Programación
Full-time, Indeterminado
Semi Sr
1 vacante disponible"|Distrito no encontrado|No especificado|https://www.bumeran.com.pe/empleos/analista-programador-de-sistemas-tecsur.s.a-1116752494.html
Jefe de sistemas (TI)|"Publicado ayer
Miraflores, Lima, Peru
Descripción del puesto
En Experis Perú buscamos al mejor talento para sumarse a los desafíos de la era digital y llevar su carrera a un siguiente nivel. Por ello, te invitamos a que formes parte del reto como Jefe de TI (Desarrollo) para la ciudad de Lima.
Funciones:
Supervisar el desarrollo e implementación de los sistemas de generación y validación de valores de seguridad, así como los de cifrado/descifrado de información de intercambio.
Supervisar el desarrollo del sistema prepago del Switch.
Supervisar el desarrollo y soporte de los sistemas de interconexión e integración de entidades y nuevos servicios.
Realizar seguimiento y mantener actualizada la documentación de los cambios que se efectúen en el software de los aplicativos a su cargo.
Revisar periódicamente los informes del Centro de Cómputo respecto a los procesos en línea con el fin de optimizarlos
Requisitos para el puesto:
Profesional titulado o bachiller en Ingeniería de Sistemas, Ingeniería de Software, o afines.
Mínimo 5 a 7 años de experiencia en cargos similares, preferiblemente en el sector financiero o afines.
Conocimiento avanzado en lenguajes de programación (C, C++, Java, Python, .NET), bases de datos, microservicios y normas de seguridad (PCI DSS, ISO 27001).
Experiencia en gestión de equipos y proyectos ágiles (Scrum, Kanban).
Inglés avanzado y habilidades de comunicación efectiva.
Te ofrecemos:
Modalidad de trabajo híbrida.
Oportunidades de crecimiento y desarrollo profesional.
Planilla directa con el cliente con todos los beneficios de ley.
En Experis Perú, promovemos la inclusión e inserción laboral sin distinción por razón de discapacidad, género, orientación, identidad y expresión de género, lugar de origen o generación. Por ello ¡Todos los talentos son bienvenidos!
Híbrido
Programación
Full-time, Indeterminado
Jefe / Supervisor / Responsable
1 vacante disponible"|Distrito no encontrado|No especificado|https://www.bumeran.com.pe/empleos/jefe-de-sistemas-ti-experis-peru-1116752439.html
Programador Frontend Junior / Presencial|"Publicado ayer
La Victoria, Lima, Peru
Descripción del puesto
En Experis Perú buscamos al mejor talento para sumarse a los desafíos de la era digital y llevar su carrera a un siguiente nivel. Por ello, te invitamos a que formes parte del reto como Programador Frontend Junior para el sector tecnología:
Requisitos:
2 años de experiencia trabajando con React JS en aplicaciones SSG (Static Site Generation)
1 año de Experiencia con aplicaciones web SSR (Server Side Rendering) o híbridas desarrolladas con Node.
2 años de experiencia trabajando con Typescript.
Manejo avanzado de CSS: Animaciones, variables, preprocesadores (SASS/SCSS).
Uso de frameworks de CSS: Tailwind CSS, Materialize.
Conocimiento de patrones de diseño aplicado en el frontend.
Manejo de control de versiones con Git en GitHub o GitLab.
Pruebas unitarias.
Funciones:
Desarrollo frontend: Implementación de interfaces, optimización de rendimiento, integración de APIs
Testing y documentación
Colaboración y reuniones técnicas"|Distrito no encontrado|No especificado|https://www.bumeran.com.pe/empleos/programador-frontend-junior-presencial-manpowergroup-peru-1116752262.html
Analista Programador|"Múltiples vacantes
Publicado ayer
San Isidro, Lima, Peru
Descripción del puesto
More digital. More human. More Minsait. Somos una empresa líder global en tecnología y consultoría digital que conecta personas, tecnología y negocios para generar crecimiento, transformación e impacto positivo y sostenible.
¿A quién buscamos?
Buscamos Analista Programador con experiencia en el rubro y ganas de sumarse a nuestros equipos multidisciplinarios para desarrollar soluciones innovadoras.
Requisitos:
Egresados o bachiller de ingeniería de software o carreras afines.
2 a 3 años de experiencia en desarrollo e integración de sistemas.
Diseño y desarrollo de soluciones con Apache NiFi.
Desarrollo en Groovy para manipulación de datos.
Implementación de componentes en SQL.
Experiencia con bases de datos SQL y NoSQL.
Desarrollo de integraciones de sistemas y procesos ETL (Extract, Transform, Load).
Diagnóstico y solución de errores en los programas.
Implementación de medidas de seguridad en las soluciones desarrolladas.
Colaboración con equipos de desarrollo y operaciones para la implementación y mantenimiento de aplicaciones.
Comunicación efectiva con los stakeholders sobre avances del proyecto.
Conocimientos valorados (Deseables):
Creación y optimización de flujos de datos en Apache NiFi.
Scripting con Groovy.
Protocolos de comunicación: REST, MQTT, Kafka, JMS.
Monitoreo y logging para seguimiento de procesos.
Condiciones de trabajo:
Modalidad Híbrida (2 veces por semana en oficinas) en el distrito de San Isidro.
Horario de trabajo de Lunes a Viernes de 9:00am a 6:30pm."|Distrito no encontrado|No especificado|https://www.bumeran.com.pe/empleos/analista-programador-indra-peru-1116752132.html
FullStack Developer - Por proyecto|"Múltiples vacantes
Publicado ayer
Cercado De Lima, Lima, Peru
Descripción del puesto
Funciones:
Diseñar, desarrollar e implementar aplicaciones web y móviles con buenas prácticas de desarrollo.
Implementar y consumir APIs REST para la integración eficiente entre sistemas.
Gestionar repositorios y entornos de desarrollo con Git, GitHub o Bitbucket.
Configurar y administrar contenedores con Docker y Kubernetes para optimizar despliegues.
Trabajar junto al Product Owner para refinar historias de usuario y asegurar una correcta interpretación de los requerimientos.
Requisitos:
Profesional egresado o bachiller en Ingeniería de Sistemas, Informática o carreras afines.
Capacidad de supervisión sin ejercer un rol de liderazgo técnico formal.
Conocimientos y experiencia:
Experiencia en desarrollo Full Stack.
Manejo de tecnologías de frontend (Angular,JavaScript,Bootstrap) y backend (Python y PHP)
Conocimientos en bases de datos SQL y/o NoSQL.
Ofrecemos:
Proyecto de 3 meses (renovable)
Presencial 100% ( a partir del 4to mes hibrido)
Sede en la victoria (st catalina)
Lunes a viernes de 9:00 a. m. a 6:00 p. m.
RXH
Equipos
Presencial
Programación
Full-time, Indeterminado
Semi Sr
2 vacantes disponibles"|Distrito no encontrado|No especificado|https://www.bumeran.com.pe/empleos/fullstack-developer-por-proyecto-protiviti-peru-1116752046.html
Desarrollador Java/Oracle weblogic|"Múltiples vacantes
Publicado ayer
San Isidro, Lima, Peru
Descripción del puesto
🌟 ¡ÚNETE A INDRA Y CREA EL FUTURO DE LA TECNOLOGÍA! 🚀
En Indra seguimos creciendo y buscamos a un Desarrollador Java/Oracle WebLogic para formar parte de nuestro equipo. Si eres un apasionado de la tecnología, tienes experiencia en plataformas de datos y quieres formar parte de una empresa global en constante innovación, ¡este es tu lugar!
Requisitos:
Egresados o bachiller de ingeniería de software o carreras afines.
Experiencia en Desarrollo Java, Framework: Hibernate, Spring boot , servicio y microservicios | IDE: Eclipse.
Experiencia en tecnologías basadas en Javascript (Sencha| Ext.js) – Indispensable.
Experiencia en Administración y despliegue en servidores Oracle, WebLogic, WAS y JBoss.
Experiencia en Oracle Cloud Infrastructure (OCI).
Experiencia en Oracle Integration Cloud (OIC)
Experiencia en Oracle REST
Experiencia en Exadata Database
Experiencia en Data Service (ORDS)."|Distrito no encontrado|No especificado|https://www.bumeran.com.pe/empleos/desarrollador-java-oracle-weblogic-indra-peru-1116751791.html
Analista Programador en Odoo (Python)|"Múltiples vacantes
Publicado ayer
Lima, Lima, Peru
Descripción del puesto
¡Buscamos un Desarrollador con experiencia en Odoo y Python!
Si tienes experiencia en desarrollo con Odoo y Python y buscas un nuevo desafío, ¡esta oportunidad es para ti! 💻📊 Buscamos un Desarrollador que participe en el diseño, desarrollo e implementación de soluciones tecnológicas personalizadas en Odoo y otros sistemas.
El candidato ideal debe tener sólidos conocimientos en desarrollo backend, tecnologías web y bases de datos, con interés en aprender y aplicar herramientas DevOps y trabajar con infraestructura en la nube.
📌 Requisitos
🎓 Formación Académica:
✅ Titulado, Bachiller o Técnico en Ingeniería de Sistemas, Computación, Software o carreras afines.
🛠️ Conocimientos Técnicos:
🔹 Experiencia en ERP Odoo: Desarrollo y personalización de módulos.
🔹 Dominio de Python para desarrollo backend.
🔹 Conocimiento en tecnologías web: HTML, CSS, JavaScript.
🔹 Manejo de bases de datos: PostgreSQL, SQL Server.
🔹 Experiencia con Git y control de versiones.
🔹 Deseable experiencia en herramientas DevOps (Docker, CI/CD) y Cloud (AWS, Google Cloud, Azure).
📌 Responsabilidades
✔ Desarrollar y personalizar módulos en Odoo según los requerimientos del negocio.
✔ Implementar soluciones backend y frontend con tecnologías modernas.
✔ Participar en la integración de sistemas y asegurar su correcto funcionamiento.
✔ Aplicar buenas prácticas de desarrollo para garantizar calidad y escalabilidad.
✔ Colaborar con el equipo técnico en la optimización del rendimiento del software.
✔ Documentar los desarrollos y brindar soporte técnico cuando sea necesario.
📌 Lo que ofrecemos
✨ Oportunidad de crecimiento y aprendizaje continuo. ✨ Participación en proyectos desafiantes y tecnologías innovadoras. ✨ Modalidad de trabajo flexible (según política de la empresa). ✨ Excelente ambiente de trabajo en equipo.
Presencial
Programación
Full-time, Indeterminado
Semi Sr
5 vacantes disponibles"|Distrito no encontrado|No especificado|https://www.bumeran.com.pe/empleos/analista-programador-en-odoo-python-ibr-peru-s.a.-1116751782.html
Analista Programador - NodeJs/Web HTML|"Publicado ayer
Lima, Lima, Peru
Descripción del puesto
Estamos en búsqueda de un profesional para cubrir la posición de:
Analista Programador
Misión: Ejecutar las actividades de análisis, diseño, programación y desarrollo de sistemas en concordancia con las necesidades requeridas por las áreas
Requisitos:
Profesionales de las carreras de computación e informática, ing de sistemas, afines.
Experiencia de 2 años en programación.
Sólidos conocimientos de NodeJS HTML + CSS Postgresql SQL Server
Otros conocimiento: Desarrollo mobile, a Nivel Básico. Ciclo de vida de desarrollo, OWASP, Desarrollo Seguro (deseable).
Funciones:
Desarrollar soluciones de software según lo solicitado por el cliente interno.
Diseñar la arquitectura y la estructura del sistema de software, incluyendo la creación de diagramas de flujo, modelos de datos y especificaciones técnicas.
Escribir código limpio y eficiente utilizando diferentes lenguajes de programación y tecnologías según las necesidades del proyecto.
Realizar pruebas de integración.
Ofrecemos:
Trabajo híbrido 2 veces por semana
Lunes a viernes de 9am a 6pm
EPS 100%
Capacitación constante en nuevas técnologías
Oportunidad de crecimiento a corto plazo
Excelente clima laboral
Presencial
Programación
Full-time, Indeterminado
Junior
1 vacante disponible"|Distrito no encontrado|No especificado|https://www.bumeran.com.pe/empleos/analista-programador-nodejs-web-html-grupo-tawa-1116751516.html
Desarrollador en Innovación y Automatización|"Publicado ayer
Lima, Lima, Peru
Descripción del puesto
CSTI Corp es una empresa peruana líder en la industria TI con más de 15 años en el mercado en países como Perú, Ecuador, Colombia, Costa Rica y Estados Unidos.
Ofrece soluciones de negocios en las líneas de Outsourcing, Licenciamientos SAP y Microsoft, soporte y mejora de aplicaciones, así como implementación y migración de sistemas bajo estrategias Cloud, aprovechando su alianza con marcas como Amazon, Azure, Huawei Cloud y Google Cloud.
Estamos en búsqueda de un Desarrollador Senior en Innovación y Automatización para potenciar nuestras soluciones tecnológicas y optimizar procesos.
🔍 ¿Qué buscamos?
Experiencia mínima de 5 años en una posición similar.
Dominio avanzado de Python.
Experiencia con Shell scripting (Bash & PowerShell).
Conocimientos en sistemas operativos: Windows, Linux y AIX (intermedio).
Experiencia en gestión de bases de datos.
Dominio de transacciones SQL y Queries avanzados en MSSQL, MySQL.
Desarrollo de aplicaciones en Python y JavaScript.
Conocimiento avanzado de Ansible.
Conocimientos intermedios en contenedores y Kubernetes.
Experiencia con Git y GitHub para desarrollo colaborativo.
Deseable experiencia como Full Stack Developer en Flask, Node.js, Angular y React.
💼"|Distrito no encontrado|No especificado|https://www.bumeran.com.pe/empleos/desarrollador-en-innovacion-y-automatizacion-csti-corp-1116751489.html
Desarrollador DevOps - Híbrido|"Publicado ayer
Lima, Lima, Peru
Descripción del puesto
CSTI Corp es una empresa peruana líder en la industria TI con más de 15 años en el mercado en países como Perú, Ecuador, Colombia, Costa Rica y Estados Unidos.
Ofrece soluciones de negocios en las líneas de Outsourcing, Licenciamientos SAP y Microsoft, soporte y mejora de aplicaciones, así como implementación y migración de sistemas bajo estrategias Cloud, aprovechando su alianza con marcas como Amazon, Azure, Huawei Cloud y Google Cloud.
Nos encontramos en la búsqueda de ""Desarrollador DevOps"":
Requisitos:
Experiencia de 2 a 3 años en desarrollo de aplicaciones de software.
Experiencia en CI/CD para aplicaciones moviles (Android / iOS) y conocimiento de las diferentes tiendas de aplicaciones en donde se realiza el despliegue de nuevas versiones de aplicaciones web, mobile, etc.
Experiencia creando pipelines de complejidad intermedia que involucre: Shell scripting, ansible, groovy.
Experiencia en despliegue de componentes en Kubernetes.
Experiencia trabajando en incidencias con herramientas DevSecOps.
Experiencia en Frontend en prácticas de CI/CD para aplicaciones/componentes Front-end (compilación, tipos de despliegue, ofuscamiento, SCA, SAST e implementarlas de forma automatizada).
Análisis de Requerimientos: trabajo con equipos para entender necesidades y diseñar soluciones en Jira - Conocimientosde metodologías ágiles (Scrum - Kanban).
Conocimientos en Jira Software y Jira Service Management: Administración de proyectos, configuración de workflows, permisos y notificaciones.
Conocimientos en Jira Assets (antes Insight): Gestión de activos dentro de Jira Service Management, creación de esquemas de objetos y relaciones.
Conocimientos en Jira Automation: Creación de reglas automatizadas usando Triggers, condiciones y acciones para optimizar flujos de trabajo.
Conocimiento del manejo de roles y permisos en Jira: configuración de esquemas de persmisos y acceso.
Conocimiento de integraciones con directorios de usuarios.
Conocimientos de programación y scripting en Jira REST Api.
Conocimientos de integraciones de Jira con plataformas cloud (AWS, Azure o GCP).
Conocimientos de programación Groovy.
De preferencia conocimientos en programación Java, Python o Node js.
Condiciones:
Modalidad Hibrida 2 veces a la semana en oficina en Chorrillos.
Salario bajo PLANILLA COMPLETA en CSTI.
Horario de lunes a viernes de 8:00 am a 6:00pm.
¡Ven y únete al equipo de CSTI CORP!
Híbrido
Programación
Full-time, Temporal
Semi Sr
1 vacante disponible"|Distrito no encontrado|No especificado|https://www.bumeran.com.pe/empleos/desarrollador-devops-hibrido-csti-corp-1116751467.html
