handle,old_rating,new_rating,change,rank,contest_id,contest_name
bossmeister9314,1945,2265,320,1,1990,Codeforces Round 960 (Div. 2)
skahl15,2076,2325,249,2,1990,Codeforces Round 960 (Div. 2)
thawin.ice,2014,2263,249,3,1990,Codeforces Round 960 (Div. 2)
cowmane,1124,1721,597,4,1990,Codeforces Round 960 (Div. 2)
hongjiaohu,2007,2291,284,5,1990,Codeforces Round 960 (Div. 2)
urosk,1728,2037,309,6,1990,Codeforces Round 960 (Div. 2)
hidmst,2018,2284,266,7,1990,Codeforces Round 960 (Div. 2)
chenjy2021,2069,2257,188,8,1990,Codeforces Round 960 (Div. 2)
verkuzuyu,1387,1859,472,9,1990,Codeforces Round 960 (Div. 2)
FIorian,2092,2263,171,10,1990,Codeforces Round 960 (Div. 2)
chh9976,1967,2171,204,11,1990,Codeforces Round 960 (Div. 2)
pkhaustov,2065,2235,170,12,1990,Codeforces Round 960 (Div. 2)
naylonposet,2067,2233,166,13,1990,Codeforces Round 960 (Div. 2)
nan02,1288,1771,483,14,1990,Codeforces Round 960 (Div. 2)
wxbqwq,1007,1565,558,15,1990,Codeforces Round 960 (Div. 2)
StarSilk_txdy,0,880,880,16,1990,Codeforces Round 960 (Div. 2)
tour2st,1979,2161,182,17,1990,Codeforces Round 960 (Div. 2)
nocap,2038,2200,162,18,1990,Codeforces Round 960 (Div. 2)
Cuer,1019,1582,563,19,1990,Codeforces Round 960 (Div. 2)
.I.,2083,2227,144,20,1990,Codeforces Round 960 (Div. 2)
Linear_B,1980,2152,172,21,1990,Codeforces Round 960 (Div. 2)
abcdehello,1981,2150,169,22,1990,Codeforces Round 960 (Div. 2)
Hakurei_Reimu_,1950,2161,211,23,1990,Codeforces Round 960 (Div. 2)
Bolivian_Bot1,1999,2215,216,24,1990,Codeforces Round 960 (Div. 2)
Wandoka,1918,2100,182,25,1990,Codeforces Round 960 (Div. 2)
CAELO,2084,2215,131,26,1990,Codeforces Round 960 (Div. 2)
I_Love_EliskaM_,1916,2150,234,27,1990,Codeforces Round 960 (Div. 2)
climax,1865,2058,193,28,1990,Codeforces Round 960 (Div. 2)
nono00,2029,2170,141,29,1990,Codeforces Round 960 (Div. 2)
FierteDeCeylan,2000,2148,148,30,1990,Codeforces Round 960 (Div. 2)
Gheal,2086,2208,122,31,1990,Codeforces Round 960 (Div. 2)
magnuseifr,1867,2053,186,32,1990,Codeforces Round 960 (Div. 2)
happy_node,1988,2135,147,33,1990,Codeforces Round 960 (Div. 2)
MDSPro,1939,2099,160,34,1990,Codeforces Round 960 (Div. 2)
Auroraa_,1970,2120,150,35,1990,Codeforces Round 960 (Div. 2)
anango,2049,2174,125,36,1990,Codeforces Round 960 (Div. 2)
MOUFLESS,2025,2156,131,37,1990,Codeforces Round 960 (Div. 2)
barbie,2086,2198,112,38,1990,Codeforces Round 960 (Div. 2)
BanRussiaAtIOI,1651,1948,297,39,1990,Codeforces Round 960 (Div. 2)
rainboy,1851,2031,180,40,1990,Codeforces Round 960 (Div. 2)
Glw_pls,1810,2001,191,41,1990,Codeforces Round 960 (Div. 2)
caidx233,1870,2041,171,42,1990,Codeforces Round 960 (Div. 2)
Ignut,1830,2013,183,43,1990,Codeforces Round 960 (Div. 2)
forget-star,2080,2186,106,44,1990,Codeforces Round 960 (Div. 2)
SirTechnical,1864,2034,170,45,1990,Codeforces Round 960 (Div. 2)
ilia-ivanov,1679,1908,229,46,1990,Codeforces Round 960 (Div. 2)
elijjah,1905,2059,154,47,1990,Codeforces Round 960 (Div. 2)
Proof_by_QED,1884,2044,160,47,1990,Codeforces Round 960 (Div. 2)
Hectonit,1843,2015,172,49,1990,Codeforces Round 960 (Div. 2)
a2bailey,1934,2077,143,50,1990,Codeforces Round 960 (Div. 2)
Itisa,1830,2004,174,51,1990,Codeforces Round 960 (Div. 2)
Liudas,1894,2047,153,52,1990,Codeforces Round 960 (Div. 2)
haozzZ,1837,2007,170,53,1990,Codeforces Round 960 (Div. 2)
Ch.II,2071,2169,98,54,1990,Codeforces Round 960 (Div. 2)
VAntonuk,2086,2180,94,54,1990,Codeforces Round 960 (Div. 2)
PinCeed,675,1279,604,56,1990,Codeforces Round 960 (Div. 2)
Alex2184,2091,2182,91,57,1990,Codeforces Round 960 (Div. 2)
hhhyh_1,2086,2177,91,58,1990,Codeforces Round 960 (Div. 2)
blackslex,1815,1986,171,59,1990,Codeforces Round 960 (Div. 2)
sksusha8853,1968,2092,124,60,1990,Codeforces Round 960 (Div. 2)
yugurt,2001,2114,113,61,1990,Codeforces Round 960 (Div. 2)
October_orz,0,809,809,62,1990,Codeforces Round 960 (Div. 2)
muxingchengfeng,1867,2019,152,63,1990,Codeforces Round 960 (Div. 2)
1xiaruize1,2064,2158,94,64,1990,Codeforces Round 960 (Div. 2)
yogzinhoo,2029,2132,103,65,1990,Codeforces Round 960 (Div. 2)
mRXxy0u0,1840,1998,158,66,1990,Codeforces Round 960 (Div. 2)
egor4kus,1954,2077,123,67,1990,Codeforces Round 960 (Div. 2)
Chenly,1836,1994,158,68,1990,Codeforces Round 960 (Div. 2)
Palbudir,2039,2136,97,69,1990,Codeforces Round 960 (Div. 2)
vaibhav242,1677,1885,208,70,1990,Codeforces Round 960 (Div. 2)
cynNYCal,955,1455,500,71,1990,Codeforces Round 960 (Div. 2)
REN_REN,1768,1945,177,72,1990,Codeforces Round 960 (Div. 2)
quaha,1886,2025,139,73,1990,Codeforces Round 960 (Div. 2)
2eyks,1558,1803,245,74,1990,Codeforces Round 960 (Div. 2)
0123456789_2025,1735,1920,185,75,1990,Codeforces Round 960 (Div. 2)
Luzhuoyuan,2009,2110,101,76,1990,Codeforces Round 960 (Div. 2)
annyeong1,2028,2122,94,77,1990,Codeforces Round 960 (Div. 2)
__Grice,692,1272,580,78,1990,Codeforces Round 960 (Div. 2)
Vassu05,2037,2127,90,79,1990,Codeforces Round 960 (Div. 2)
Kustov_Vadim_533,1926,2048,122,79,1990,Codeforces Round 960 (Div. 2)
smallC233,1744,1922,178,81,1990,Codeforces Round 960 (Div. 2)
Mohamed308,1899,2027,128,82,1990,Codeforces Round 960 (Div. 2)
nooooob_KiFaH_HeLaL,1936,2053,117,82,1990,Codeforces Round 960 (Div. 2)
Jamshed11,2007,2103,96,84,1990,Codeforces Round 960 (Div. 2)
shade34,1963,2071,108,85,1990,Codeforces Round 960 (Div. 2)
Hardy_Lee,1695,1886,191,86,1990,Codeforces Round 960 (Div. 2)
kuguabigking,513,1150,637,87,1990,Codeforces Round 960 (Div. 2)
lastridem,2099,2203,104,88,1990,Codeforces Round 960 (Div. 2)
ChanceJi,1916,2035,119,89,1990,Codeforces Round 960 (Div. 2)
abbcdbbc,1954,2097,143,89,1990,Codeforces Round 960 (Div. 2)
icoder178,1910,2030,120,91,1990,Codeforces Round 960 (Div. 2)
yimuhua,1967,2070,103,92,1990,Codeforces Round 960 (Div. 2)
tw20000807,1712,1892,180,93,1990,Codeforces Round 960 (Div. 2)
ab121,1778,1937,159,93,1990,Codeforces Round 960 (Div. 2)
SoReMore,1707,1888,181,93,1990,Codeforces Round 960 (Div. 2)
kavorka,1876,2004,128,96,1990,Codeforces Round 960 (Div. 2)
SmilingBraniac,1965,2066,101,97,1990,Codeforces Round 960 (Div. 2)
cloudxcy,1762,1985,223,98,1990,Codeforces Round 960 (Div. 2)
4ndr3i,2069,2139,70,99,1990,Codeforces Round 960 (Div. 2)
heidiheize,1949,2089,140,99,1990,Codeforces Round 960 (Div. 2)
skibidi_toilet,0,781,781,101,1990,Codeforces Round 960 (Div. 2)
HuangXiaoyun,1811,1956,145,102,1990,Codeforces Round 960 (Div. 2)
AsukaSaito,1944,2048,104,103,1990,Codeforces Round 960 (Div. 2)
inoader,2036,2114,78,104,1990,Codeforces Round 960 (Div. 2)
Mbfibat,1844,1977,133,105,1990,Codeforces Round 960 (Div. 2)
space_leo,1897,2014,117,106,1990,Codeforces Round 960 (Div. 2)
bcollet,1971,2065,94,107,1990,Codeforces Round 960 (Div. 2)
Dragon_Lee,1886,2005,119,107,1990,Codeforces Round 960 (Div. 2)
Surprise_Me,1851,1980,129,109,1990,Codeforces Round 960 (Div. 2)
Sir-Ahmed-Imran,1959,2056,97,109,1990,Codeforces Round 960 (Div. 2)
turgon314,1882,2001,119,111,1990,Codeforces Round 960 (Div. 2)
opia,1958,2123,165,112,1990,Codeforces Round 960 (Div. 2)
_pmr,1653,1843,190,113,1990,Codeforces Round 960 (Div. 2)
