Job_title,Description,Distric,Modalidad
Desarrollador Java/Oracle weblogic,"🌟 ¡ÚNETE A INDRA Y CREA EL FUTURO DE LA TECNOLOGÍA! 🚀 En Indra seguimos creciendo y buscamos a un Desarrollador Java/Oracle WebLogic para formar parte de nuestro equipo. Si eres un apasionado de la tecnología, tienes experiencia en plataformas de datos y quieres formar parte de una empresa global en constante innovación, ¡este es tu lugar! Requisitos: Egresados o bachiller de ingeniería de software o carreras afines. Experiencia en Desarrollo Java, Framework: Hibernate, Spring boot , servicio y microservicios | IDE: Eclipse. Experiencia en tecnologías basadas en Javascript (Sencha| Ext.js) – Indispensable. Experiencia en Administración y despliegue en servidores Oracle, WebLogic, WAS y JBoss. Experiencia en Oracle Cloud Infrastructure (OCI). Experiencia en Oracle Integration Cloud (OIC) Experiencia en Oracle REST Experiencia en Exadata Database Experiencia en Data Service (ORDS). Beneficios: 🚑 EPS 100% 📚 Acceso total a Udemy para tu desarrollo profesional. 🔖 Descuentos corporativos. 📈 Línea de carrera. 💆‍♀️ Kit ergonómico para laborar desde casa. 🧠 Atención psicológica. 🥦 Atención nutricional. Detalles de la posición: Modalidad: Híbrida (3 veces por semana en oficinas) Horario: Lunes a Viernes de 9:00am a 6:30pm. ¡Ven y únete a INDRA Minsait, donde la tecnología trabaja por un futuro más humano! 🌍 Nuestro compromiso es fomentar ambientes de trabajo inclusivos, basados en el respeto y la dignidad, garantizando igualdad de oportunidades y un entorno libre de discriminación en todos los niveles.",San Isidro,Híbrido
Analista Programador en Odoo (Python),"¡Buscamos un Desarrollador con experiencia en Odoo y Python! Si tienes experiencia en desarrollo con Odoo y Python y buscas un nuevo desafío, ¡esta oportunidad es para ti! 💻📊 Buscamos un Desarrollador que participe en el diseño, desarrollo e implementación de soluciones tecnológicas personalizadas en Odoo y otros sistemas. El candidato ideal debe tener sólidos conocimientos en desarrollo backend, tecnologías web y bases de datos, con interés en aprender y aplicar herramientas DevOps y trabajar con infraestructura en la nube. 📌 Requisitos 🎓 Formación Académica: ✅ Titulado, Bachiller o Técnico en Ingeniería de Sistemas, Computación, Software o carreras afines. 🛠️ Conocimientos Técnicos: 🔹 Experiencia en ERP Odoo: Desarrollo y personalización de módulos. 🔹 Dominio de Python para desarrollo backend. 🔹 Conocimiento en tecnologías web: HTML, CSS, JavaScript. 🔹 Manejo de bases de datos: PostgreSQL, SQL Server. 🔹 Experiencia con Git y control de versiones. 🔹 Deseable experiencia en herramientas DevOps (Docker, CI/CD) y Cloud (AWS, Google Cloud, Azure). 📌 Responsabilidades ✔ Desarrollar y personalizar módulos en Odoo según los requerimientos del negocio. ✔ Implementar soluciones backend y frontend con tecnologías modernas. ✔ Participar en la integración de sistemas y asegurar su correcto funcionamiento. ✔ Aplicar buenas prácticas de desarrollo para garantizar calidad y escalabilidad. ✔ Colaborar con el equipo técnico en la optimización del rendimiento del software. ✔ Documentar los desarrollos y brindar soporte técnico cuando sea necesario. 📌 Lo que ofrecemos ✨ Oportunidad de crecimiento y aprendizaje continuo. ✨ Participación en proyectos desafiantes y tecnologías innovadoras. ✨ Modalidad de trabajo flexible (según política de la empresa). ✨ Excelente ambiente de trabajo en equipo.",Lima,Presencial
Analista Programador - NodeJs/Web HTML,"Estamos en búsqueda de un profesional para cubrir la posición de: Analista Programador Misión: Ejecutar las actividades de análisis, diseño, programación y desarrollo de sistemas en concordancia con las necesidades requeridas por las áreas Requisitos: Profesionales de las carreras de computación e informática, ing de sistemas, afines. Experiencia de 2 años en programación. Sólidos conocimientos de NodeJS HTML + CSS Postgresql SQL Server Otros conocimiento: Desarrollo mobile, a Nivel Básico. Ciclo de vida de desarrollo, OWASP, Desarrollo Seguro (deseable). Funciones: Desarrollar soluciones de software según lo solicitado por el cliente interno. Diseñar la arquitectura y la estructura del sistema de software, incluyendo la creación de diagramas de flujo, modelos de datos y especificaciones técnicas. Escribir código limpio y eficiente utilizando diferentes lenguajes de programación y tecnologías según las necesidades del proyecto. Realizar pruebas de integración. Ofrecemos: Trabajo híbrido 2 veces por semana Lunes a viernes de 9am a 6pm EPS 100% Capacitación constante en nuevas técnologías Oportunidad de crecimiento a corto plazo Excelente clima laboral",Lima,Presencial
Desarrollador en Innovación y Automatización,"CSTI Corp es una empresa peruana líder en la industria TI con más de 15 años en el mercado en países como Perú, Ecuador, Colombia, Costa Rica y Estados Unidos. Ofrece soluciones de negocios en las líneas de Outsourcing, Licenciamientos SAP y Microsoft, soporte y mejora de aplicaciones, así como implementación y migración de sistemas bajo estrategias Cloud, aprovechando su alianza con marcas como Amazon, Azure, Huawei Cloud y Google Cloud. Estamos en búsqueda de un Desarrollador Senior en Innovación y Automatización para potenciar nuestras soluciones tecnológicas y optimizar procesos. 🔍 ¿Qué buscamos? Experiencia mínima de 5 años en una posición similar. Dominio avanzado de Python. Experiencia con Shell scripting (Bash & PowerShell). Conocimientos en sistemas operativos: Windows, Linux y AIX (intermedio). Experiencia en gestión de bases de datos. Dominio de transacciones SQL y Queries avanzados en MSSQL, MySQL. Desarrollo de aplicaciones en Python y JavaScript. Conocimiento avanzado de Ansible. Conocimientos intermedios en contenedores y Kubernetes. Experiencia con Git y GitHub para desarrollo colaborativo. Deseable experiencia como Full Stack Developer en Flask, Node.js, Angular y React. 💼 Beneficios: Ingreso a planilla desde el primer día con todos los beneficios de ley al 100%. Modalidad híbrida: 2 a 3 veces a la semana en oficina (La Molina o La Victoria). Horario: lunes a viernes, de 9:00 a.m. a 6:00 p.m. Convenios y descuentos corporativos en educación, entretenimiento y más. Oportunidad de crecimiento y desarrollo profesional en una empresa líder del sector TI. 📩 Si buscas un reto que impulse tu carrera, postula ahora y sé parte de la transformación digital con CSTI Corp! 🚀",Lima,Híbrido
Desarrollador DevOps - Híbrido,"CSTI Corp es una empresa peruana líder en la industria TI con más de 15 años en el mercado en países como Perú, Ecuador, Colombia, Costa Rica y Estados Unidos. Ofrece soluciones de negocios en las líneas de Outsourcing, Licenciamientos SAP y Microsoft, soporte y mejora de aplicaciones, así como implementación y migración de sistemas bajo estrategias Cloud, aprovechando su alianza con marcas como Amazon, Azure, Huawei Cloud y Google Cloud. Nos encontramos en la búsqueda de ""Desarrollador DevOps"": Requisitos: Experiencia de 2 a 3 años en desarrollo de aplicaciones de software. Experiencia en CI/CD para aplicaciones moviles (Android / iOS) y conocimiento de las diferentes tiendas de aplicaciones en donde se realiza el despliegue de nuevas versiones de aplicaciones web, mobile, etc. Experiencia creando pipelines de complejidad intermedia que involucre: Shell scripting, ansible, groovy. Experiencia en despliegue de componentes en Kubernetes. Experiencia trabajando en incidencias con herramientas DevSecOps. Experiencia en Frontend en prácticas de CI/CD para aplicaciones/componentes Front-end (compilación, tipos de despliegue, ofuscamiento, SCA, SAST e implementarlas de forma automatizada). Análisis de Requerimientos: trabajo con equipos para entender necesidades y diseñar soluciones en Jira - Conocimientosde metodologías ágiles (Scrum - Kanban). Conocimientos en Jira Software y Jira Service Management: Administración de proyectos, configuración de workflows, permisos y notificaciones. Conocimientos en Jira Assets (antes Insight): Gestión de activos dentro de Jira Service Management, creación de esquemas de objetos y relaciones. Conocimientos en Jira Automation: Creación de reglas automatizadas usando Triggers, condiciones y acciones para optimizar flujos de trabajo. Conocimiento del manejo de roles y permisos en Jira: configuración de esquemas de persmisos y acceso. Conocimiento de integraciones con directorios de usuarios. Conocimientos de programación y scripting en Jira REST Api. Conocimientos de integraciones de Jira con plataformas cloud (AWS, Azure o GCP). Conocimientos de programación Groovy. De preferencia conocimientos en programación Java, Python o Node js. Condiciones: Modalidad Hibrida 2 veces a la semana en oficina en Chorrillos. Salario bajo PLANILLA COMPLETA en CSTI. Horario de lunes a viernes de 8:00 am a 6:00pm. ¡Ven y únete al equipo de CSTI CORP!",Lima,Híbrido
Analista Programador FRONT-END - PRESENCIAL,"Somos Canvia, formamos parte del portafolio de Advent International y contamos con 34 años de presencia en el mercado local. Nuestro propósito es hacer más fácil la vida de las personas, innovando e implementando proyectos de transformación digital de nuestros clientes de manera ágil y segura. ¡Reinventa el futuro con Canvia! Si sientes pasión por la tecnología y quieres transformar negocios, esta es tu oportunidad para desarrollarte en una empresa inclusiva, diversa, que se desafía constantemente. Nuestro propósito es hacer más fácil la vida de las personas, innovando e implementando proyectos de transformación digital con un metodología ágil y segura. Como Analista Programador ANGULAR tendrás la misión de: Desarrollar la interfaz de usuario en Angular con Microfrontends. Implementar ngx-translate para la internacionalización. Optimizar el rendimiento de la interfaz con Lazy Loading y NgxRx. Integrar con Azure API Management y asegurar la correcta comunicación con el backend. Garantizar accesibilidad y compatibilidad en múltiples dispositivos. * REQUISITOS: Bachiller en la carrera de Ingeniería de sistemas, Ingeniería informática, Ingeniería electrónica, Ingeniería industrial o carreras afines. Experiencia no menor de 4 años como Analista programador o Analista de aplicaciones o similares. Manejo indispensable de ANGULAR, Microfrontends Experiencia con Lazy Loading y NgxRx. * BENEFICIOS: Te ofrecemos: Foco en tu desarrollo y línea de crecimiento a través de Canvia College, donde podrás potenciar tus conocimientos con cursos tendencia en tecnología y de gestión. La importancia de tu bienestar, por ejemplo, el que tengas tiempo libre el día de tu cumpleaños para que lo disfrutes con las personas que más quieres. Modalidad híbrida de trabajo, trabajo desde casa en la mayoría de nuestras posiciones. Ingresarás a planilla desde el primer día. Porque la salud es muy importante, te coberturamos la EPS en un 80%. Tendrás una tarjeta de alimentación. En esta empresa está prohibida la discriminación - Ley N° 29973",Lima,Presencial
ANALISTA PROGRAMADOR,"Importante Consultora en constante crecimiento se encuentra en la búsqueda analistas programadores que pasen a ser parte de un equipo de consultores consolidado, donde además de pertenecer a un grupo multidisciplinario, son capacitados con las metodologías utilizadas por la empresa. Se ofrece un grato ambiente de trabajo y la capacidad de desarrollo e innovación. También es importante que las personas tengan al menos 3 año de experiencia y que haya estudiado Ingeniería Ejecución Informática, Analista de Sistema, Técnico Informático o carrera afín. Ser requiere que la experiencia se en algunos de estos lenguajes: -Python -Java -IR -PHP -Visual Basic -Otros afín Se busca perosnas que sean ordenadas, disciplinadas, comprometidas y que tengan interés en aprender nuevas metodologías. Disponibilidad tiempo completo.",Lima,Remoto
Programador Jr,"FRACTAL Soluciones TI, Somos una empresa peruana de Consultoría en Gestión de Tecnología de la Información con más de 10 años en el mercado, que ofrece soluciones que contribuyen al mejoramiento de los procesos y negocios de nuestros clientes, basados en profesionales altamente calificados y aplicando los más altos estándares de calidad. Estamos en búsqueda de un talento para la posición de Programador Junior con el siguiente perfil: Requisitos Bachiller en Ingeniería de Sistemas, Informática o afines Experiencia laboral de al menos 1 año en el cargo - mandatorio Experiencia en el desarrollo de Aplicaciones Web con experiencia en uso de JQuery, CSS, HTML5, JavaScript. C# ASP .Net Framework 4.0 + / .Net Core 2.1 + Bases de datos SQL Server 2008+ y MySQL Web Service (REST) Conocimientos de Metodologías ágiles (Scrum) Funciones Desarrollo de aplicaciones web. Resolución de bugs. Pruebas y calidad del software. Documentación Colaboración en el equipo. ¿Qué te ofrecemos? Cursos libres en plataforma AWS Descuentos corporativos Actividades de bienestar y desarrollo Visítanos en: http://www.fractal.com.pe/ ¡Postula con nosotros y únete al equipo FRACTAL!",Lima,Híbrido
Analista Programador - Apache Nifi,"Desarrollador Backend Java Senior – Únete a nuestro equipo en Minsait More digital. More human. More Minsait. Somos una empresa líder global en tecnología y consultoría digital que conecta personas, tecnología y negocios para generar crecimiento, transformación e impacto positivo y sostenible. ¿A quién buscamos? Buscamos Analista Programador con experiencia en Apache Nifi con experiencia en el rubro y ganas de sumarse a nuestros equipos multidisciplinarios para desarrollar soluciones innovadoras. Requisitos: Egresados o bachiller de ingeniería de software o carreras afines. 2 a 3 años de experiencia en desarrollo e integración de sistemas. Diseño y desarrollo de soluciones con Apache NiFi. Desarrollo en Groovy para manipulación de datos. Implementación de componentes en SQL. Experiencia con bases de datos SQL y NoSQL. Desarrollo de integraciones de sistemas y procesos ETL (Extract, Transform, Load). Diagnóstico y solución de errores en los programas. Implementación de medidas de seguridad en las soluciones desarrolladas. Colaboración con equipos de desarrollo y operaciones para la implementación y mantenimiento de aplicaciones. Comunicación efectiva con los stakeholders sobre avances del proyecto. Conocimientos valorados (Deseables): Creación y optimización de flujos de datos en Apache NiFi. Scripting con Groovy. Protocolos de comunicación: REST, MQTT, Kafka, JMS. Monitoreo y logging para seguimiento de procesos. Condiciones de trabajo: Modalidad Híbrida (2 veces por semana en oficinas) en el distrito de San Isidro. Horario de trabajo de Lunes a Viernes de 9:00am a 6:30pm. Beneficios: Planilla Completa desde el 1er día de trabajo. Cobertura al 100% de EPS. Convenios Corporativos. Acceso ilimitado a cursos y certificaciones online en Udemy. Crecimiento y desarrollo profesional. ¡Anímate y postula con nosotros!",San Isidro,Híbrido
Desarrollador DevOps - Híbrido,"CSTI Corp es una empresa peruana líder en la industria TI con más de 15 años en el mercado en países como Perú, Ecuador, Colombia, Costa Rica y Estados Unidos. Ofrece soluciones de negocios en las líneas de Outsourcing, Licenciamientos SAP y Microsoft, soporte y mejora de aplicaciones, así como implementación y migración de sistemas bajo estrategias Cloud, aprovechando su alianza con marcas como Amazon, Azure, Huawei Cloud y Google Cloud. Nos encontramos en la búsqueda de ""Desarrollador DevOps"": Requisitos: Experiencia de 2 a 3 años en desarrollo de aplicaciones de software. Experiencia en Jira a nivel de tareas de administración: creación/modificación de flujos, roles, automatizaciones, etc. Experiencia en CI/CD para aplicaciones moviles (Android / iOS) y conocimiento de las diferentes tiendas de aplicaciones en donde se realiza el despliegue de nuevas versiones de aplicaciones web, mobile, etc. Experiencia creando pipelines de complejidad intermedia que involucre: Shell scripting, ansible, groovy. Experiencia en despliegue de componentes en Kubernetes. Experiencia trabajando en incidencias con herramientas DevSecOps. Experiencia en Frontend en prácticas de CI/CD para aplicaciones/componentes Front-end (compilación, tipos de despliegue, ofuscamiento, SCA, SAST e implementarlas de forma automatizada). Condiciones: Modalidad Hibrida 2 veces a la semana en oficina en Chorrillos. Salario bajo PLANILLA COMPLETA en CSTI. Horario de lunes a viernes de 8:00 am a 6:00pm. ¡Ven y únete al equipo de CSTI CORP!",Lima,Híbrido
