Job_title,Description,Distric,Modalidad
Desarrollador Full Stack,"¡En YOFC Perú, empresa trasnacional de Telecomunicaciones, queremos talento como el tuyo! Por tal motivo, te invitamos a participar en nuestro proceso para la búsqueda de DESARROLLADOR FULL STACK ¿Cuáles serían tus funciones? Apoyar a la organización en la gestión de sistemas de la empresa: CRM, FMS, NAS, SRMS y otras plataformas. Facilitar el flujo de datos en la plataforma de operación y mantenimiento, incluyendo la ayuda a los usuarios para modificar datos y asignar permisos. Apoyar la escritura SQL y el uso del lenguaje Java para escribir código y desarrollar interfaces. Gestionar la implementación y el lanzamiento de proyectos Java (paquetes jar y war). Apoyar al desarrollo en plataformas low-code. Apoyar la operación y el mantenimiento de Linux y la resolución de fallos del programa. Apoyar en la redacción de manuales de desarrollo y de operación y mantenimiento. ¿Qué te hace el mejor candidato para nosotros? Bachiller o Titulado en carreras universitarias de Sistemas, Informática o afines. Manejo de SQL, MySQL y Oracle. Mínimo 3 años de experiencia realizando funciones similares. Conocimiento de Java, RESTful y especificaciones de desarrollo de interfaces de servicios web. Conocimiento de los comandos de operación y mantenimiento diarios de Linux, comprensión del protocolo HTTP. Conocimiento de la plataforma low-code. Inglés avanzado (escrito y oral) ¡Conócenos! Somos el mayor proveedor de fibra óptica del mundo. Ofrecemos soluciones integrales y con una cartera de productos diversa y flexible, con especial presencia en las industrias de las telecomunicaciones, servicios públicos, transporte, petroquímica y médica. En el Perú estamos a cargo del Proyecto Regional para implementar fibra óptica en 4 regiones del País (Arequipa, Ancash, San Martín y La Libertad). Valoramos un ambiente inclusivo: En YOFC Perú, promovemos un ambiente laboral inclusivo y rechazamos toda forma de discriminación. Por eso, en nuestros procesos de selección buscamos que los candidatos y candidatas tengan igualdad de oportunidades para unirse a nuestro equipo de acuerdo con nuestras políticas internas y conforme a lo establecido en la Ley N° 29973. Si tienes alguna discapacidad o necesidad especial, podemos brindarte las facilidades y/o ajustes razonables que necesites.",San Isidro,Presencial
Programador Java,"Somos Inetum, una compañía de servicios ágiles que proporciona soluciones digitales y un grupo global de tecnólogos que acompaña a sus clientes en el proceso de digitalización aprovechando al máximo el digital flow. Ofrecemos a nuestros clientes una combinación única de proximidad, organización sectorial y soluciones de calidad. Presente en más de 26 países, el Grupo tiene cerca de 27.000 colaboradores y apunta a continuar creciendo. ¡En Inetum acompañamos a nuestros clientes y colaboradores en su camino al éxito! Si te gusta reinventarte y resolver problemas con nuevas estrategias, trabajar en proyectos de IT y de negocios: ¡Postula ahora! Actualmente nos encontramos en búsqueda de (01) Desarrollador Java Cloud que se integre a nuestro equipo en un importante proyecto con una prestigiosa entidad. ¿Qué perfil buscamos? Conocimiento en Microservicios (Java), JDK (8, 11, 17), Spring, Springboot, NONSQL Database (CosmosDB, MongoDB), SQL Database (SQL Server, Azure SQL) Conceptos: Clean code, SOLID, TDD, Patrones GoF Prácticas: Refactoring, Code Review, Unit Test, documentación con UML Programación: Clases, objetos, colecciones, archivos, flujos, operadores // Programación reactiva con webflux (indispensable experiencia) POO: abstracción, interfaces, composición, polimorfismo, herencia Java: JDK 8, JDK 11. Git: checkout, ramas, tags, conflictos, merging SQL: tablas, columnas, consultas básicas, agregación, planes de ejecución Pruebas unitarias: JUnit, Mockito, Lombok Spring Boot Conocimientos sólidos con Azure Funciones Cumplir las tareas asignadas por los líderes según la metodología definida. Desarrollo de las opciones en la nueva arquitectura. Pruebas unitarias de las opciones desarrolladas. Cumplir con la metodología de desarrollo establecido y uso de las herramientas. ¿Cuáles son los detalles del puesto? Remuneración en planilla con las condiciones de ley. Trabajo híbrido ( 2 vez por semana como máximo de asistencias en San Isidro) Concepto por movilidad.. Beneficios corporativos y descuentos por ser parte del equipo Inetum. Capacitaciones constantes acorde a tu línea de carrera y otras de interés general. Participar en proyecto de gran envergadura. Conoce más de nosotros en www.inetum.com/es o visita nuestras redes sociales como Inetum Perú para conocer más de nuestra cultura corporativa y metodologías de trabajo. ¡Te esperamos! En Inetum promovemos la diversidad de género, origen étnico, nacionalidad, la inclusión de personas con discapacidad y/o habilidades diferentes mediante la igualdad de oportunidades en todos los procesos y buscamos ampliar las oportunidades de desarrollo profesional.",San Isidro,Híbrido
Especialista en Gestion de Inventario,"Métrica Andina es la primera filial latinoamericana del grupo de consultoría español Métrica Consulting. El grupo comenzó operaciones con el inicio del nuevo siglo y desde entonces ha participado en distintos proyectos en distintos países de Europa Occidental y Latino América. Con Métrica Andina, hemos comenzado a ofrecer nuestros servicios técnicos en el mercado Peruano y desde ahí queremos llegar a la región andina en los próximos años. Por encargo de nuestro cliente, nos encontramos en la búsqueda de un Especialista en Gestion de Inventario Requisitos: Minimo 1 año de experiencia en algun software de gestion de inventario, realizando inventario de activos de tecnologia, gestion de activos de servidores. Experiencia con SNOW Software SLM y BMC Discovery (Deseable) Conocimientos en integración de herramientas ITAM con otras soluciones. Beneficios: Planilla desde el primer día con todos los beneficios acorde a ley. Remuneración fija superior al mercado. Seguro Vida Ley. Participar de un programa de reconocimiento. Buen clima laboral Convenios educativos, descuentos en centros comerciales, recreativos, etc. Pertenecer a una prestigiosa empresa de tecnología y generar lazos transnacionales. En Métrica Perú estamos comprometidos con la inclusión, diversidad y equidad de género. Por ello, los procesos de selección buscan asegurar la igualdad de derechos y oportunidades. ¡Si estás listo para dar el siguiente paso en tu carrera y te apasiona la tecnología, esta es tu oportunidad! #ChambeaenMétrica",Lima,Presencial
Analista programador .Net,"PROTIVITI es una firma de consultoría global que asiste a las empresas solucionando problemas en las áreas de finanzas, tecnología, operaciones, gobierno corporativo, riesgos, auditoría interna y procesos de selección. Puedes conocer más de nosotros aquí: https://protivitiperu.com/ En esta oportunidad, nos encontramos en búsqueda de un(a) Programador .Net que cumpla con lo siguiente: Requisitos: Estudios en Ingeniería de Sistemas, Software, Ciencias de la Computación. Experiencia de 2 a 3 años en proyectos NET, .NET CORE y Angular Experiencia en Base de datos SQL Server, My SQL Condiciones: Proyecto por 2 mese (renovable 1 mes) Híbrido (1 vez por semana en sede del callao). Pago en planilla con todos los beneficios de ley. EPS cubierto parcialmente Equipos y capacitación Lunes a viernes de 9am a 6pm",Callao,Remoto
Analista Programador Net,"Empresa líder en el sector industrial textil, dedicada a la fabricación de tejido plano, se encuentra en la búsqueda de un profesional para ocupar la posición de ANALISTA PROGRAMADOR NET: FUNCION PRINCIPAL: Desarrollo de aplicaciones web con lenguaje .NET, Mantenimiento a los programas administrativos hechos en VB y .NET, MSSQL server 2018, 2016 REQUISITOS: Titulado en Ingeniería de Sistemas, -Ingeniería de Sistemas, Ingeniería Informática, Programación, Desarrollo de Software o carreras afines. Experiencia mínima de 03 años como analista programador encargado de proyectos de implementación de ERPs. Exhibir casos específicos donde haya logrado exitosamente desarrollar proyectos de ERPs. Disponibilidad de laborar de Lunes a Viernes de 8.00am a 17.15pm CONOCIMIENTOS NECESARIOS: Microsoft .Net Framework (Web/Desktop) Avanzado Net Core 8 Avanzado (MVC) (deseable) Desarrollo de API REST Lenguaje de Programación C/VB Conocimiento en Programación Orientada a Objetos y Patrones de Diseño de Software(deseable) SQL Server/DB2 Avanzado (Transact) Análisis funcional, Modelamiento de Procesos COMPETENCIAS: Comunicación efectiva y asertiva. Enfoque en resultados. Trabajo en equipo. Capacidad para analizar y resolver problemas. BENEFICIOS: Sueldo acorde al mercado. Ingreso a planilla con todos los beneficios de ley. Alimentación a través del sistema de prestaciones alimentarias. Integrarse a una empresa sólida y de reconocido prestigio.",San Juan De Lurigancho.,Presencial
Programador Cobol Senior,"Trae tu talento a Indra, una compañía global de consultoría y tecnología, con presencia en los 5 continentes y más de 40.000 profesionales. Trabajarás en un entorno de soluciones y servicios innovadores para nuestros clientes en los principales sectores de actividad, aportándoles valor añadido. Participarás de la transformación de los negocios trabajando con profesionales de referencia. Buscamos un Programador Cobol con ganas de trabajar en nuestros equipos multidisciplinares. Requisitos: Usar técnicas y herramientas UML para diseñar procesos de complejidad baja. Spool para reconocer errores mas avanzados como los Abends. Construir programas que accedan a archivos VSAM KSDS, ESDS y RRDS. BBDD y SQL. Conceptos básicos de la tecnología Cicsplex, LPAR, Zconnect. Conceptos de mirror transaction e interacción del mismo con los cics y las apis invocadoras. Beneficios: Planilla Completa desde el 1er día de trabajo. Cobertura al 100% de EPS. Convenios Corporativos. Acceso ilimitado a cursos y certificaciones online en Udemy. Crecimiento y desarrollo profesional. Bono de teletrabajo. ¡Anímate y postula con nosotros!",Lima,Híbrido
Programador Web Front-End,"La Cámara de Comercio Exterior es una organización que tiene como propósito establecer lazos empresariales, los cuales incentivan, incrementan y desarrollan la economía a nivel internacional. A su vez, junto a su canal educativo, busca el crecimiento profesional de las personas gracias a nuestros cursos de educación continua. Requisitos: Egresado o Estudiante del último ciclo de la carrera de Computación e Informática o afines. Conocimiento en HTML, CSS, JavaScript, Tailwind CSS, Sass o LESS, Bootstrap, Maquetación web, Figma, Consumo de Apis, Git. Mínimo 1 año desarrollando soluciones web y landings. Responsabilidades: Creación, modificación y mantenimiento de webs y landings responsive. Desarrollar interfaces de usuario atractivas y funcionales Optimizar el rendimiento de la aplicación web Documentar el desarrollo y mantenimiento del código Trabajar en equipo con desarrolladores. Seguir las tendencias y mejores prácticas del desarrollo web Beneficios: Planilla directa con beneficios de ley. Sueldo de acuerdo al mercado. Horario: Lunes a Viernes 9am - 5:45pm y Sábados de 9am - 1pm. Lugar: San Isidro",San Isidro,Presencial
Desarrollador Full Stack Java / Angular.JS Senior,"🚀 ¡Únete a Minsait como Desarrollador Full Stack Java + AngularJS Senior! En Minsait, empresa global líder en tecnología y consultoría digital, buscamos un Desarrollador Full Stack Java + AngularJS Senior con amplia experiencia y habilidades para liderar desarrollos end-to-end, aportando soluciones tecnológicas innovadoras y de alta calidad a nuestros proyectos. 🔹 Requisitos: ✅ Experiencia mínima de 5 años en: Conocimientos en UML Conocimiento y experiencia en diseño de APIs Conocimiento y experiencia en diseño de servicios web Conocimiento y experiencia en interfaces REST y SOAP Conocimiento y experiencia en orquestación de servicios Conocimiento y experiencia en bases de datos Oracle, sql. Conocimientos y experiencia en java, angularjs, springboot, 💡 Habilidades blandas que valoramos: ✔ Autonomía y capacidad de autogestión. ✔ Proactividad en la resolución de problemas. ✔ Comunicación asertiva para trabajar en equipo de manera efectiva. 🎯 Beneficios de ser parte de Minsait: 🔹 EPS 100% cubierta. 🔹 Contrato a plazo fijo (renovable). 🔹 Acceso total a Udemy para formación continua. 🔹 Asesorías nutricionales y psicológicas gratuitas. 🔹 Oportunidades de crecimiento y desarrollo profesional. 🔹 Kit ergonómico para trabajo remoto. 🔹 Descuentos corporativos. 🔹 Trabajo remoto de lunes a viernes, de 7:00 a.m. a 4:30 p.m. 💡 Minsait, tecnología para un futuro más humano. 📩 ¡Si cumples con los requisitos y buscas un reto emocionante, postula y sé parte de nuestro equipo! 🚀",San Isidro,Remoto
Desarrollador Backend AWS,"Entelgy Perú se estableció en 2014. En este breve periodo de tiempo ya ha conseguido, gracias a su experiencia internacional, grandes proyectos en distintos rubros, como en empresas de Distribución, Telecomunicaciones, Banca, Energía e Industria. Mantiene alianzas con organizaciones innovadoras y fabricantes líderes del sector con el fin de aportar más valor añadido y soluciones completas a las necesidades de sus clientes. Es partner de grandes fabricantes internacionales como SAP / OpenText, Liferay, Infovista, Qlikview, TTGuide. DÉJANOS CONTARTE LO QUE NOS HACE GENUINE Buscamos profesionales que quieran reinventarse cada día, que enfrentarse a los retos vaya en su ADN y que sientan pasión por trabajar con la tecnología/ciberseguridad. Esto nos hace únicos, diferentes y auténticos. ¿QUÉ ESTAMOS BUSCANDO? Estamos en la búsqueda de profesionales con experiencia como Analista Desarrollador Backend, con conocimiento en AWS Funciones: Análisis de componentes y participación en el ciclo de vida de desarrollo de software (indispensable). Coordinación con diferentes actores para la construcción de piezas de software. Requisitos: Competencia técnica de OOP, patrones de diseño de software, buenas prácticas de desarrollo y puede diseñar una aplicación por sí solo en un lenguaje de alto nivel. Competencia técnica de desarrollo API REST bajo un marco de programación como: SpringBoot, Express.JS, Nest.JS, etc. Competencia técnica en administrar el código con git: versionar, ramas, rebase, integrar commits a una rama a través de Pull Request y code review. Competencia técnica en diseño, creación y ejecución de pruebas unitarias de los componentes creados. Competencia técnica en desarrollo de servicios con BBDD relacionales y/o no relaciones. Competencia técnica en infraestructura OnCloud. Competencia técnica de gestión de paquetes y versiones. Competencia técnica en Javascript, WebServices, AWS. Opcional: Java, Python, TypeScript. Competencia técnica en prácticas de seguridad. PORQUE EN ENTELGY TODO COMIENZA CONTIGO Únicos, Reales, Auténticos, Diferentes…… Somos 100% GENUINE. Nuestra cultura se vive en el día a día, somos como una gran familia y formamos Entelgy Family, donde podrás participar en diferentes actividades, eventos, retos y mucho más. También tenemos un conjunto de iniciativas orientadas a potenciar que tengas una vida sana y equilibrada, nuestro compromiso de contribuir a nuestra sociedad con iniciativas para el Cuidado del medio ambiente, Voluntariado comunitario, Sensibilización sobre personas vulnerables, etc. Health & Wellness, Responsabilidad Social, Programa para el Cuidado del Medio Ambiente. ASÍ ES COMO PONEMOS TODO NUESTRO TALENTO EN POTENCIAR EL TUYO Ven para formar parte de nuestro equipo, y descubre que no es sólo lo que hacemos, sino cómo lo hacemos. ¡Atrévete a vivir una experiencia Genuine! Proyectos retadores para grandes clientes: Trabajarás en proyectos de gran relevancia para nuestros clientes, junto a un gran equipo de profesionales desde el primer día. Un progreso acelerado: Tu crecimiento estará garantizado y potenciado. Vamos contigo en lo que necesites. Beneficios Incorporación a una empresa trasnacional con excelente clima laboral y todos los beneficios de Ley. Desarrollo de línea de carrera con grandes clientes en Perú y otros países. Acceso a nuestra universidad corporativa Entelgy College con capacitaciones constantes. Acceso a nuestro Programa Certificate para que nuestros profesionales puedan utilizarlo para una o dos certificaciones, de IT o de Idiomas, al año. Beneficio de descuentos con convenios con instituciones académicas en Post grado, maestría y MBA. Seguro de salud privado (EPS) cubierto al 100% Seguro Vida Ley.",Lima,Híbrido
Desarrollador Mobile,"SOFTWARE ENTERPRISE SERVICES Somos una empresa peruana de Tecnologías de la Información y Comunicaciones, que cuenta con amplia experiencia en la prestación de servicios informáticos mediante Outsourcing TI y Fábrica de Software, para clientes nacionales e internacionales, asegurando la calidad de servicio con sólidos procesos estandarizados en un sistema integrado de gestión. Nos encontramos en la búsqueda del mejor talento para ocupar la siguiente posición Desarrollador Mobile Requisitos: Universitario titulado, Universitario egresado, Universitario Bachiller, Técnico Egresado o Técnico Titulado. - Experiencia mínima de 4 años en trabajos con funciones similares o afines (indispensable). Conocimiento sobre desarrolo de código seguro (indispensable). Conocimientos con arquitecturas como MVVM, MVP o Clean (indispensable). Conocimientos básicos de integración y despliegue continuo (CI/CD) (indispensable). Conocimientos en diseño responsivo y buenas prácticas de UX/UI (indispensable). Experiencia en el sector público (deseable). Requisitos Técnicos: Experiencia mínima de 2 a 4 años desarrollando en aplicaciones móviles en Android (indispensable). Experiencia mínima de 2 a 4 años en Kotlin (obligatorio). Experiencia con Java y Angular 17 (indispensable). Experiencia con bases de datos como: MS SQL Server y Postgre SQL (indispensable). Competencia: Comunicación asertiva. Proactivo. Trabajo en equipo. Beneficios: Planilla completa. EPS (Opcional). Oportunidad de línea de carrera.",Cercado De Lima,Híbrido
