handle,old_rating,new_rating,change,rank,contest_id,contest_name
bemyqueenkong,849,1497,648,1,1996,Codeforces Round 962 (Div. 3)
sonflower,0,881,881,2,1996,Codeforces Round 962 (Div. 3)
imtweaking,0,863,863,3,1996,Codeforces Round 962 (Div. 3)
123456789010111213141516,1439,1859,420,4,1996,Codeforces Round 962 (Div. 3)
StarSilk_txdy,880,1470,590,5,1996,Codeforces Round 962 (Div. 3)
dezlik,1372,1780,408,6,1996,Codeforces Round 962 (Div. 3)
_phckhnh0902_,1412,1792,380,7,1996,Codeforces Round 962 (Div. 3)
kkkksc03,799,1400,601,8,1996,Codeforces Round 962 (Div. 3)
choujiangxiang,1428,1829,401,9,1996,Codeforces Round 962 (Div. 3)
thienan727,1405,1715,310,10,1996,Codeforces Round 962 (Div. 3)
SegTreeLover,726,1311,585,11,1996,Codeforces Round 962 (Div. 3)
2023015729,1047,1522,475,12,1996,Codeforces Round 962 (Div. 3)
oyladn,0,798,798,13,1996,Codeforces Round 962 (Div. 3)
orzFesdrer,746,1316,570,14,1996,Codeforces Round 962 (Div. 3)
btwwtfursaying,0,792,792,15,1996,Codeforces Round 962 (Div. 3)
misaki-nakahara,0,789,789,16,1996,Codeforces Round 962 (Div. 3)
bibra_eSports2,1466,1798,332,17,1996,Codeforces Round 962 (Div. 3)
-Mescherez-,1368,1756,388,18,1996,Codeforces Round 962 (Div. 3)
Hansel_01,566,1178,612,19,1996,Codeforces Round 962 (Div. 3)
gaga999,1022,1500,478,19,1996,Codeforces Round 962 (Div. 3)
ifffer_2137,1322,1682,360,21,1996,Codeforces Round 962 (Div. 3)
gawibawibo,0,774,774,22,1996,Codeforces Round 962 (Div. 3)
sunrise32768,0,772,772,23,1996,Codeforces Round 962 (Div. 3)
youdu666,1598,1870,272,24,1996,Codeforces Round 962 (Div. 3)
T0T_,586,1183,597,25,1996,Codeforces Round 962 (Div. 3)
qixian_yyds,0,765,765,26,1996,Codeforces Round 962 (Div. 3)
Sunlight,1536,1765,229,26,1996,Codeforces Round 962 (Div. 3)
Geclus,0,763,763,28,1996,Codeforces Round 962 (Div. 3)
npl,1550,1772,222,29,1996,Codeforces Round 962 (Div. 3)
NeuronSpark,633,1208,575,30,1996,Codeforces Round 962 (Div. 3)
deptraihaihuoc,1192,1533,341,31,1996,Codeforces Round 962 (Div. 3)
truongminhduc_beo,0,757,757,32,1996,Codeforces Round 962 (Div. 3)
Da_Yue,553,1147,594,33,1996,Codeforces Round 962 (Div. 3)
sb_atcoder,1102,1536,434,33,1996,Codeforces Round 962 (Div. 3)
AndroidOreo,1208,1610,402,35,1996,Codeforces Round 962 (Div. 3)
qwqJudge,1521,1804,283,36,1996,Codeforces Round 962 (Div. 3)
ac_de_taffy,0,751,751,37,1996,Codeforces Round 962 (Div. 3)
Professor-Henry-Anthony,775,1297,522,38,1996,Codeforces Round 962 (Div. 3)
wx0708,1263,1616,353,39,1996,Codeforces Round 962 (Div. 3)
dokaraya,1006,1442,436,40,1996,Codeforces Round 962 (Div. 3)
Eprociaty,700,1239,539,41,1996,Codeforces Round 962 (Div. 3)
Random_is_perfect,0,745,745,42,1996,Codeforces Round 962 (Div. 3)
Z_wzy,0,744,744,43,1996,Codeforces Round 962 (Div. 3)
