rank,points,hack_count,participant_type,member_handles,problem_A_points,problem_A_penalty,problem_A_rejected,problem_B_points,problem_B_penalty,problem_B_rejected,problem_C_points,problem_C_penalty,problem_C_rejected,problem_D_points,problem_D_penalty,problem_D_rejected,problem_E_points,problem_E_penalty,problem_E_rejected,problem_F_points,problem_F_penalty,problem_F_rejected,problem_G_points,problem_G_penalty,problem_G_rejected,problem_H_points,problem_H_penalty,problem_H_rejected,problem_I1_points,problem_I1_penalty,problem_I1_rejected,problem_I2_points,problem_I2_penalty,problem_I2_rejected
27,10221.0,0,CONTESTANT,hhoppitree,499.0,0,0,990.0,0,0,1227.0,0,0,1540.0,0,0,1846.0,0,0,2007.0,0,0,0.0,0,0,0.0,0,0,2112.0,0,0,0.0,0,0
28,10219.0,0,CONTESTANT,BurnedChicken,498.0,0,0,979.0,0,0,1204.0,0,0,1629.0,0,0,1798.0,0,0,1927.0,0,0,0.0,0,0,0.0,0,0,2184.0,0,0,0.0,0,0
29,10206.0,0,CONTESTANT,Golovanov399,496.0,0,0,976.0,0,0,1214.0,0,0,1606.0,0,0,1750.0,0,0,2020.0,0,0,0.0,0,2,0.0,0,0,2144.0,0,0,0.0,0,0
30,10193.0,0,CONTESTANT,leinad2,498.0,0,0,984.0,0,0,1207.0,0,0,1648.0,0,0,1792.0,0,0,1944.0,0,1,0.0,0,0,0.0,0,2,2120.0,0,0,0.0,0,0
31,10158.0,0,CONTESTANT,neal,499.0,0,0,982.0,0,0,1214.0,0,0,1662.0,0,0,1760.0,0,0,1987.0,0,0,0.0,0,0,0.0,0,0,2054.0,0,1,0.0,0,0
32,10133.0,0,CONTESTANT,tatyam,425.0,0,1,950.0,0,0,1167.0,0,0,1601.0,0,0,1739.0,0,0,1987.0,0,0,0.0,0,0,0.0,0,0,2264.0,0,0,0.0,0,0
33,10103.0,0,CONTESTANT,kotatsugame,498.0,0,0,984.0,0,0,1207.0,0,0,1615.0,0,0,1771.0,0,0,1940.0,0,0,0.0,0,0,0.0,0,0,2088.0,0,0,0.0,0,0
34,10100.0,0,CONTESTANT,rin204,498.0,0,0,979.0,0,0,1210.0,0,0,1517.0,0,0,1670.0,0,0,1994.0,0,0,0.0,0,0,0.0,0,0,2232.0,0,0,0.0,0,0
35,10099.0,0,OUT_OF_COMPETITION,jiangbowen,498.0,0,0,984.0,0,0,1214.0,0,0,1643.0,0,0,1792.0,0,0,2060.0,0,0,0.0,0,0,0.0,0,0,1908.0,0,2,0.0,0,0
36,10097.0,0,CONTESTANT,jason_sun,498.0,0,0,984.0,0,0,1214.0,0,0,1666.0,0,0,1803.0,0,0,1980.0,0,0,0.0,0,0,0.0,0,2,1952.0,0,0,0.0,0,0
37,10082.0,0,CONTESTANT,potato167,499.0,0,0,982.0,0,0,1207.0,0,0,1624.0,0,0,1771.0,0,0,1887.0,0,0,0.0,0,0,0.0,0,0,2112.0,0,0,0.0,0,0
38,10053.0,0,CONTESTANT,wutongchun,496.0,0,0,982.0,0,0,1204.0,0,0,1643.0,0,0,1766.0,0,0,1914.0,0,0,0.0,0,1,0.0,0,0,2048.0,0,0,0.0,0,0
39,10046.0,0,CONTESTANT,Shui_Dream,496.0,0,0,982.0,0,0,1210.0,0,0,1601.0,0,0,1755.0,0,0,1954.0,0,0,0.0,0,0,0.0,0,0,2048.0,0,0,0.0,0,0
40,10041.0,0,CONTESTANT,Tlatoani,498.0,0,0,979.0,0,0,1200.0,0,0,1560.0,0,1,1766.0,0,0,1974.0,0,0,0.0,0,0,0.0,0,1,2064.0,0,0,0.0,0,0
41,10033.0,0,CONTESTANT,Morphed,498.0,0,0,976.0,0,0,1197.0,0,0,1624.0,0,0,1760.0,0,0,2014.0,0,0,0.0,0,0,0.0,0,0,1964.0,0,2,0.0,0,0
42,10013.0,0,CONTESTANT,hos.lyric,498.0,0,0,984.0,0,0,1214.0,0,0,1657.0,0,0,1808.0,0,0,1880.0,0,0,0.0,0,4,0.0,0,0,1972.0,0,2,0.0,0,0
43,9985.0,0,CONTESTANT,antontrygubO_o,499.0,0,0,982.0,0,0,1197.0,0,0,1643.0,0,0,1792.0,0,0,1864.0,0,1,0.0,0,0,0.0,0,3,2008.0,0,0,0.0,0,0
44,9955.0,0,CONTESTANT,crazy_sea,445.0,0,1,976.0,0,0,1200.0,0,0,1620.0,0,0,1755.0,0,0,1897.0,0,1,0.0,0,4,0.0,0,0,2062.0,0,1,0.0,0,0
45,9930.0,0,CONTESTANT,yuto1115,487.0,0,0,974.0,0,0,1194.0,0,0,1610.0,0,0,1734.0,0,0,1987.0,0,0,0.0,0,0,0.0,0,0,1944.0,0,0,0.0,0,0
46,9867.0,0,CONTESTANT,Pyqe,498.0,0,0,979.0,0,0,1177.0,0,0,1601.0,0,0,1728.0,0,0,1860.0,0,0,0.0,0,0,0.0,0,0,2024.0,0,0,0.0,0,0
47,9859.0,0,CONTESTANT,rqi,495.0,0,0,976.0,0,0,1204.0,0,0,1638.0,0,0,1782.0,0,0,1844.0,0,1,0.0,0,0,0.0,0,0,1920.0,0,0,0.0,0,0
48,9856.0,0,CONTESTANT,QAQAutoMaton,494.0,0,0,976.0,0,0,1204.0,0,0,1601.0,0,0,1739.0,0,0,1794.0,0,0,0.0,0,1,0.0,0,0,2048.0,0,0,0.0,0,0
49,9841.0,0,CONTESTANT,rqoi032,496.0,0,0,979.0,0,0,1200.0,0,0,1638.0,0,0,1707.0,0,0,1807.0,0,2,0.0,0,0,0.0,0,5,2014.0,0,1,0.0,0,0
50,9824.0,0,CONTESTANT,LeoPro,498.0,0,0,984.0,0,0,1220.0,0,0,1671.0,0,0,1803.0,0,0,1640.0,0,4,0.0,0,0,0.0,0,0,2008.0,0,0,0.0,0,0
51,9823.0,0,CONTESTANT,risujiroh,496.0,0,0,982.0,0,0,1194.0,0,0,1624.0,0,0,1776.0,0,0,1767.0,0,0,0.0,0,2,0.0,0,0,1984.0,0,0,0.0,0,0
52,9797.0,0,CONTESTANT,yuanruiqi,496.0,0,0,974.0,0,0,1197.0,0,0,1615.0,0,0,1766.0,0,0,1437.0,0,3,2312.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0
53,9791.0,0,CONTESTANT,piggy123,496.0,0,0,976.0,0,0,1200.0,0,0,1620.0,0,0,1696.0,0,0,1907.0,0,0,0.0,0,0,0.0,0,0,1896.0,0,0,0.0,0,0
54,9770.0,0,CONTESTANT,allvik66,498.0,0,0,984.0,0,0,1207.0,0,0,1629.0,0,0,1766.0,0,0,2040.0,0,0,0.0,0,0,0.0,0,0,1646.0,0,1,0.0,0,0
