handle,old_rating,new_rating,change,rank,contest_id,contest_name
chinerist,2596,2645,49,76,2029,Refact.ai Match 1 (Codeforces Round 985)
KevinWan,2693,2717,24,77,2029,Refact.ai Match 1 (Codeforces Round 985)
yoav_s,2186,2345,159,78,2029,Refact.ai Match 1 (Codeforces Round 985)
leinad2,2487,2562,75,79,2029,Refact.ai Match 1 (Codeforces Round 985)
sansen,2692,2713,21,80,2029,Refact.ai Match 1 (Codeforces Round 985)
Crystally,2855,2835,-20,81,2029,Refact.ai Match 1 (Codeforces Round 985)
0wuming0,2576,2625,49,82,2029,Refact.ai Match 1 (Codeforces Round 985)
Shun_PI,2418,2508,90,83,2029,Refact.ai Match 1 (Codeforces Round 985)
jeroenodb,2894,2861,-33,84,2029,Refact.ai Match 1 (Codeforces Round 985)
siganai,2620,2655,35,85,2029,Refact.ai Match 1 (Codeforces Round 985)
zltzlt,2585,2628,43,86,2029,Refact.ai Match 1 (Codeforces Round 985)
Maksim1744,2980,2924,-56,87,2029,Refact.ai Match 1 (Codeforces Round 985)
BalintR,2747,2748,1,88,2029,Refact.ai Match 1 (Codeforces Round 985)
Hyperbolic,2582,2624,42,89,2029,Refact.ai Match 1 (Codeforces Round 985)
JeanBombeur,2339,2444,105,90,2029,Refact.ai Match 1 (Codeforces Round 985)
TheScrasse,2606,2640,34,91,2029,Refact.ai Match 1 (Codeforces Round 985)
risujiroh,2668,2685,17,92,2029,Refact.ai Match 1 (Codeforces Round 985)
syx2567,2633,2659,26,93,2029,Refact.ai Match 1 (Codeforces Round 985)
bro_jie,2212,2350,138,94,2029,Refact.ai Match 1 (Codeforces Round 985)
enot110,2648,2668,20,95,2029,Refact.ai Match 1 (Codeforces Round 985)
SomethingNew,2478,2541,63,96,2029,Refact.ai Match 1 (Codeforces Round 985)
phoenix0423,2343,2441,98,97,2029,Refact.ai Match 1 (Codeforces Round 985)
grass9cow,2607,2635,28,98,2029,Refact.ai Match 1 (Codeforces Round 985)
marvinthang,2525,2574,49,99,2029,Refact.ai Match 1 (Codeforces Round 985)
gabrielwu,2598,2627,29,100,2029,Refact.ai Match 1 (Codeforces Round 985)
Markadiusz,2205,2338,133,101,2029,Refact.ai Match 1 (Codeforces Round 985)
milisav,2480,2538,58,101,2029,Refact.ai Match 1 (Codeforces Round 985)
gloria_mundi,2598,2625,27,103,2029,Refact.ai Match 1 (Codeforces Round 985)
Rice_tawara459,1857,2181,324,104,2029,Refact.ai Match 1 (Codeforces Round 985)
fyable,2458,2520,62,104,2029,Refact.ai Match 1 (Codeforces Round 985)
guperman,2179,2317,138,106,2029,Refact.ai Match 1 (Codeforces Round 985)
PvPro,2263,2376,113,107,2029,Refact.ai Match 1 (Codeforces Round 985)
nuip,2480,2534,54,108,2029,Refact.ai Match 1 (Codeforces Round 985)
anmichi,2591,2616,25,109,2029,Refact.ai Match 1 (Codeforces Round 985)
CDuongg,2146,2291,145,110,2029,Refact.ai Match 1 (Codeforces Round 985)
_Ezreal,2132,2281,149,111,2029,Refact.ai Match 1 (Codeforces Round 985)
thembululquaUwU,2363,2445,82,112,2029,Refact.ai Match 1 (Codeforces Round 985)
Yam,2410,2479,69,113,2029,Refact.ai Match 1 (Codeforces Round 985)
makrav,2472,2524,52,114,2029,Refact.ai Match 1 (Codeforces Round 985)
qwef_,2501,2545,44,115,2029,Refact.ai Match 1 (Codeforces Round 985)
leaf1415,2547,2577,30,116,2029,Refact.ai Match 1 (Codeforces Round 985)
LuCpp,2691,2685,-6,116,2029,Refact.ai Match 1 (Codeforces Round 985)
iakovlev.zakhar,2524,2560,36,116,2029,Refact.ai Match 1 (Codeforces Round 985)
-is-this-fft-,2387,2458,71,119,2029,Refact.ai Match 1 (Codeforces Round 985)
TimDee,2274,2376,102,120,2029,Refact.ai Match 1 (Codeforces Round 985)
ikaurov,2513,2550,37,121,2029,Refact.ai Match 1 (Codeforces Round 985)
Numbering,2507,2545,38,122,2029,Refact.ai Match 1 (Codeforces Round 985)
Nyaan,2809,2771,-38,123,2029,Refact.ai Match 1 (Codeforces Round 985)
Xellos,2398,2464,66,124,2029,Refact.ai Match 1 (Codeforces Round 985)
lmh_qwq,2557,2581,24,125,2029,Refact.ai Match 1 (Codeforces Round 985)
UKBwyx,2116,2260,144,126,2029,Refact.ai Match 1 (Codeforces Round 985)
AdhityaMangudy,2159,2289,130,127,2029,Refact.ai Match 1 (Codeforces Round 985)
culver0412,2361,2434,73,128,2029,Refact.ai Match 1 (Codeforces Round 985)
36champ,2415,2473,58,129,2029,Refact.ai Match 1 (Codeforces Round 985)
Waldi,2434,2487,53,130,2029,Refact.ai Match 1 (Codeforces Round 985)
propane,2556,2576,20,131,2029,Refact.ai Match 1 (Codeforces Round 985)
DanielChang,2243,2346,103,132,2029,Refact.ai Match 1 (Codeforces Round 985)
KevinLikesCoding,2162,2288,126,133,2029,Refact.ai Match 1 (Codeforces Round 985)
Minh,2307,2391,84,134,2029,Refact.ai Match 1 (Codeforces Round 985)
platter,2607,2612,5,135,2029,Refact.ai Match 1 (Codeforces Round 985)
parsa-golestani,2221,2328,107,136,2029,Refact.ai Match 1 (Codeforces Round 985)
BernatP,2168,2290,122,137,2029,Refact.ai Match 1 (Codeforces Round 985)
Farmer_D,2237,2338,101,138,2029,Refact.ai Match 1 (Codeforces Round 985)
windva,2398,2455,57,139,2029,Refact.ai Match 1 (Codeforces Round 985)
feeder1,2477,2513,36,140,2029,Refact.ai Match 1 (Codeforces Round 985)
arzhantsev64,2186,2300,114,141,2029,Refact.ai Match 1 (Codeforces Round 985)
Morisz10,2100,2239,139,142,2029,Refact.ai Match 1 (Codeforces Round 985)
Fido_Puppy,2723,2696,-27,143,2029,Refact.ai Match 1 (Codeforces Round 985)
chaeyihwan,2448,2489,41,144,2029,Refact.ai Match 1 (Codeforces Round 985)
katyaporay,2301,2381,80,145,2029,Refact.ai Match 1 (Codeforces Round 985)
Kazumin,2317,2392,75,146,2029,Refact.ai Match 1 (Codeforces Round 985)
Yuuuuuuuuuuuuuuuuu,2516,2538,22,147,2029,Refact.ai Match 1 (Codeforces Round 985)
MeGustaElArroz23,2437,2479,42,148,2029,Refact.ai Match 1 (Codeforces Round 985)
noya2,2506,2530,24,148,2029,Refact.ai Match 1 (Codeforces Round 985)
